iter,arm,env_steps,mean_return,collisions,cum_collisions,goals,goal_rate
102,shielded,450182,11.411928418904548,0,0,2,0.05
103,shielded,456034,11.75890529736862,0,0,4,0.1
104,shielded,462101,11.212973337846462,0,0,3,0.075
105,shielded,467965,13.14223804627611,0,0,3,0.075
106,shielded,473818,11.276816025961532,0,0,3,0.075
107,shielded,479905,8.299341414242212,0,0,1,0.025
108,shielded,485749,10.108610414379779,0,0,1,0.025
109,shielded,491940,8.059993433692437,0,0,1,0.025
110,shielded,497999,9.815499932205261,0,0,2,0.05
111,shielded,503980,11.177406230925465,0,0,4,0.1
112,shielded,509725,12.433069151758023,0,0,4,0.1
113,shielded,515164,15.383179845389645,0,0,7,0.175
114,shielded,521091,11.87019774656818,0,0,2,0.05
115,shielded,526494,12.730607180369315,0,0,4,0.1
116,shielded,532116,11.667566947438804,0,0,3,0.075
117,shielded,536321,22.049789429769433,0,0,12,0.3
118,shielded,539649,22.69941745640214,0,0,12,0.3
119,shielded,541811,18.060287841746096,0,0,9,0.225
120,shielded,543421,15.869858211615579,0,0,9,0.225
121,shielded,545491,21.001450409770136,0,0,11,0.275
122,shielded,547862,22.80348497545904,0,0,13,0.325
123,shielded,551373,18.715542520588162,0,0,8,0.2
124,shielded,555298,23.432485343487418,0,0,12,0.3
125,shielded,559603,20.744776457140947,0,0,11,0.275
126,shielded,565008,14.373807842528809,0,0,4,0.1
127,shielded,570155,12.461928112190227,0,0,4,0.1
128,shielded,575216,16.687050297091066,0,0,8,0.2
129,shielded,581040,10.760525868166345,0,0,3,0.075
130,shielded,586900,12.722937733543585,0,0,4,0.1
131,shielded,592865,10.949247559544238,0,0,1,0.025
132,shielded,598603,12.059352046473544,0,0,4,0.1
133,shielded,604241,12.061572204639791,0,0,3,0.075
134,shielded,610292,9.430699995859502,0,0,0,0.0
135,shielded,615833,15.447316618055499,0,0,7,0.175
136,shielded,621678,12.289743551860091,0,0,3,0.075
137,shielded,627068,13.012110366945763,0,0,3,0.075
138,shielded,632305,12.327399468589435,0,0,4,0.1
139,shielded,637387,18.01213294624386,0,0,9,0.225
140,shielded,641750,22.400961723991752,0,0,12,0.3
141,shielded,646660,19.382395191167284,0,0,10,0.25
142,shielded,650356,21.22959783266112,0,0,11,0.275
143,shielded,653452,29.371846138891804,0,0,19,0.475
144,shielded,656709,25.90315039082294,0,0,15,0.375
145,shielded,660110,16.642569658918575,0,0,5,0.125
146,shielded,662711,21.00243737074184,0,0,10,0.25
147,shielded,665299,23.313242370422337,0,0,13,0.325
148,shielded,668365,23.810520277622192,0,0,14,0.35
149,shielded,671447,22.87514316130082,0,0,13,0.325
0,unshielded,5982,0.6551499427119178,6,6,0,0.0
1,unshielded,12377,1.1352371175881895,1,7,0,0.0
2,unshielded,17360,0.9523498255359609,15,22,1,0.025
3,unshielded,21494,-3.346797252834139,20,42,0,0.0
4,unshielded,27894,2.1182901982091016,0,42,0,0.0
5,unshielded,29095,-4.33604646649552,0,42,0,0.0
6,unshielded,30373,-4.102822980100681,0,42,0,0.0
7,unshielded,31849,-4.939887618651731,0,42,0,0.0
8,unshielded,33309,-4.786222757536898,0,42,0,0.0
9,unshielded,34776,-4.470267641060806,0,42,0,0.0
10,unshielded,36195,-4.112810073588155,0,42,0,0.0
11,unshielded,37871,0.7796563540101371,4,46,0,0.0
12,unshielded,39679,2.8031414957344554,7,53,0,0.0
13,unshielded,41430,1.7565120836538557,16,69,1,0.025
14,unshielded,43112,-0.7804294264792159,19,88,0,0.0
15,unshielded,44808,-1.7982273872995442,24,112,0,0.0
16,unshielded,46514,-1.7395020982489187,24,136,1,0.025
17,unshielded,48325,0.47280359029963914,13,149,0,0.0
18,unshielded,50433,1.3965177649346459,9,158,0,0.0
19,unshielded,55244,3.7786085739008053,1,159,0,0.0
20,unshielded,60416,2.867105871715517,1,160,0,0.0
21,unshielded,65165,3.0563167764790173,0,160,0,0.0
22,unshielded,70542,2.442386829101686,1,161,0,0.0
23,unshielded,76195,3.3133047099092527,0,161,0,0.0
24,unshielded,80763,3.236281503266903,1,162,0,0.0
25,unshielded,84618,3.605596778066933,2,164,0,0.0
26,unshielded,88673,3.9301284739111075,3,167,0,0.0
27,unshielded,92395,4.177280814052707,3,170,0,0.0
28,unshielded,95918,1.1570743197608828,10,180,0,0.0
29,unshielded,101313,2.923724021025668,5,185,0,0.0
30,unshielded,107555,1.0692083732771316,1,186,0,0.0
31,unshielded,113955,-0.14884216020258162,0,186,0,0.0
32,unshielded,120217,1.591916702848699,1,187,0,0.0
33,unshielded,126547,5.3289852467720635,2,189,0,0.0
34,unshielded,129277,-0.9816312142188632,22,211,0,0.0
35,unshielded,131583,1.2366775022139787,18,229,1,0.025
36,unshielded,133380,0.1340244257405688,25,254,2,0.05
37,unshielded,135160,1.665863170229502,18,272,1,0.025
38,unshielded,136879,1.4909769771737522,18,290,2,0.05
39,unshielded,139028,4.451318471360869,5,295,1,0.025
40,unshielded,142372,4.4081588792857875,0,295,0,0.0
41,unshielded,147624,4.546174134712681,0,295,0,0.0
42,unshielded,153523,1.7415708232187548,0,295,0,0.0
43,unshielded,159044,3.330054729463255,0,295,0,0.0
44,unshielded,164259,3.9151335142920276,0,295,0,0.0
45,unshielded,168551,3.7367138588558895,0,295,0,0.0
46,unshielded,172367,3.7665203289534217,0,295,0,0.0
47,unshielded,176012,6.101027278144185,1,296,0,0.0
48,unshielded,177969,4.969381981095864,7,303,1,0.025
49,unshielded,179795,2.5129244300535682,15,318,1,0.025
50,unshielded,181976,7.444048500835692,8,326,2,0.05
51,unshielded,184219,3.670277031311784,11,337,1,0.025
52,unshielded,187322,3.130735965872836,9,346,0,0.0
53,unshielded,192196,6.3626215817105365,1,347,0,0.0
54,unshielded,197582,5.812364611329782,2,349,0,0.0
55,unshielded,203128,4.693370860485661,0,349,0,0.0
56,unshielded,208708,6.260523009825802,1,350,0,0.0
57,unshielded,213568,6.357671818485118,2,352,0,0.0
58,unshielded,217852,5.426407381108833,4,356,0,0.0
59,unshielded,221574,5.630611786679817,3,359,0,0.0
60,unshielded,224996,7.151277605829186,6,365,1,0.025
61,unshielded,228025,4.052640664794072,6,371,0,0.0
62,unshielded,231677,4.2396879108074925,6,377,0,0.0
63,unshielded,237123,6.12283293634484,0,377,0,0.0
64,unshielded,242629,5.328100272324254,3,380,0,0.0
65,unshielded,247765,5.55667651779927,2,382,0,0.0
66,unshielded,253301,5.920379095294956,1,383,0,0.0
67,unshielded,258468,7.196167819838985,2,385,0,0.0
68,unshielded,263809,7.6913463076515765,3,388,0,0.0
69,unshielded,268769,8.4289286345163,6,394,1,0.025
70,unshielded,274225,7.501618447719066,6,400,0,0.0
71,unshielded,278197,5.963966014463871,13,413,2,0.05
72,unshielded,283134,6.8278467639121585,5,418,1,0.025
73,unshielded,288691,6.085733756301005,5,423,0,0.0
74,unshielded,294623,8.482503904573742,0,423,0,0.0
75,unshielded,300223,6.114068282460742,2,425,0,0.0
76,unshielded,306061,5.4842538716588525,2,427,0,0.0
77,unshielded,312351,7.38937794913939,0,427,0,0.0
78,unshielded,317519,7.163076907089862,1,428,0,0.0
79,unshielded,321587,7.597929983856081,7,435,0,0.0
80,unshielded,326028,4.909769005613657,7,442,0,0.0
81,unshielded,331175,8.589388115024379,4,446,0,0.0
82,unshielded,336888,6.778883656515221,3,449,0,0.0
83,unshielded,341810,6.570903664435893,4,453,0,0.0
84,unshielded,344949,5.390094507436813,14,467,1,0.025
85,unshielded,347355,6.455212817470366,21,488,5,0.125
86,unshielded,349123,0.037360101586275854,29,517,3,0.075
87,unshielded,350874,0.9110050719954181,31,548,3,0.075
88,unshielded,352454,-3.811054681722589,35,583,1,0.025
