penalty,seed,train_collisions,off_collision,off_return,on_return
0.0,0,0,1.0,-8.435511722487798,7.414720844621129
0.0,1,0,0.99,-7.317669823885588,8.513016841224447
0.0,2,0,0.99,-6.69804162342241,11.374801551004492
0.0,3,0,1.0,-8.28232773269322,9.770671272476408
0.0,4,0,1.0,-7.614205733277904,9.913294739383435
0.3,0,0,0.6,-1.3501925091085294,8.374156368433399
0.3,1,0,0.2,3.582155239822606,6.61971573371803
0.3,2,0,0.98,-6.8331984526346226,9.183278501561569
0.3,3,0,1.0,-8.963412219341286,8.178733979776226
0.3,4,0,0.66,-0.6475928117330173,11.3403947905125
0.6,0,0,0.09,4.812676156387775,6.165297902972667
0.6,1,0,0.02,5.540019811672108,5.897469657421848
0.6,2,0,0.16,3.58373526238518,6.304501472452288
0.6,3,0,0.06,4.378812539658615,5.696471529698644
0.6,4,0,0.27,2.324022340885219,6.546481176422805
1.0,0,0,0.06,3.9067713733264897,4.823848521189442
1.0,1,0,0.01,4.172266056940806,4.327267035103644
1.0,2,0,0.07,3.833490480226501,4.704335228912918
1.0,3,0,0.14,0.17198247520924434,2.1838648323118686
1.0,4,0,0.0,0.953425923350821,0.9491825287863306
1.5,0,0,0.04,-0.37562095638981274,0.24847238294934532
1.5,1,0,0.07,-0.8913889925917098,0.30689929309886915
1.5,2,0,0.04,2.471467980039022,4.25387471874164
1.5,3,0,0.07,2.577889089586132,3.3699604259075118
1.5,4,0,0.0,0.8108076516390641,0.8108076516390641
