arm,seed,update,env_steps,mean_return,goal_rate,cum_collisions,n_episodes
shielded,0,0,4096,2.615289965979556,0.0,0,20
shielded,0,1,8192,5.06496168152172,0.0,0,21
shielded,0,2,12288,6.222412036989183,0.0,0,21
shielded,0,3,16384,6.893226215940996,0.0,0,23
shielded,0,4,20480,6.595609727324201,0.0,0,23
shielded,0,5,24576,7.182531150943408,0.0,0,26
shielded,0,6,28672,9.846283611696219,0.0,0,24
shielded,0,7,32768,7.394052507980904,0.0,0,25
shielded,0,8,36864,7.378258391198024,0.0,0,24
shielded,0,9,40960,5.076608276807247,0.0,0,24
shielded,0,10,45056,7.543987145764969,0.0,0,22
shielded,0,11,49152,9.756551415007772,0.0,0,23
shielded,0,12,53248,8.348688905040948,0.0,0,22
shielded,0,13,57344,7.7533326210631435,0.0,0,21
shielded,0,14,61440,8.483797661226419,0.0,0,25
shielded,0,15,65536,6.873578911821521,0.0,0,24
shielded,0,16,69632,6.600604020301692,0.0,0,22
shielded,0,17,73728,7.186609429853962,0.0,0,22
shielded,0,18,77824,10.652866560782691,0.0,0,24
shielded,0,19,81920,9.227645269823242,0.0,0,25
shielded,0,20,86016,12.533101364920633,0.045454545454545456,0,22
shielded,0,21,90112,7.494302716156333,0.045454545454545456,0,22
shielded,0,22,94208,9.332331570822467,0.041666666666666664,0,24
shielded,0,23,98304,8.679982748676949,0.0,0,23
shielded,0,24,102400,10.795445018161962,0.08333333333333333,0,24
shielded,0,25,106496,6.953817096227803,0.0,0,22
shielded,0,26,110592,11.53662904170891,0.07692307692307693,0,26
shielded,0,27,114688,9.251797560127812,0.0,0,24
shielded,0,28,118784,10.585176035527805,0.0,0,21
shielded,0,29,122880,10.161136003810002,0.0,0,23
shielded,0,30,126976,11.253129387552256,0.045454545454545456,0,22
shielded,0,31,131072,12.74145982244263,0.07407407407407407,0,27
shielded,0,32,135168,11.392740828036969,0.041666666666666664,0,24
shielded,0,33,139264,9.43846016059757,0.0,0,24
shielded,0,34,143360,7.438340356051408,0.0,0,24
shielded,0,35,147456,10.258285608710421,0.041666666666666664,0,24
shielded,0,36,151552,10.713099607975915,0.043478260869565216,0,23
shielded,0,37,155648,11.032290166997546,0.04,0,25
shielded,0,38,159744,12.333361436178771,0.08333333333333333,0,24
shielded,0,39,163840,8.619309090739781,0.0,0,23
shielded,0,40,167936,6.476628457238504,0.0,0,22
shielded,0,41,172032,8.486391690343732,0.0,0,23
shielded,0,42,176128,13.425298174714285,0.037037037037037035,0,27
shielded,0,43,180224,9.298666227744322,0.0,0,25
shielded,0,44,184320,10.979245410411595,0.041666666666666664,0,24
shielded,0,45,188416,8.600418928981297,0.0,0,22
shielded,0,46,192512,10.505254363590137,0.04,0,25
shielded,0,47,196608,12.160694842835433,0.07692307692307693,0,26
shielded,0,48,200704,9.683147109566432,0.0,0,27
shielded,0,49,204800,8.060526327618982,0.0,0,22
shielded,0,50,208896,10.668937019023623,0.0,0,25
shielded,0,51,212992,10.46105170196115,0.0,0,22
shielded,0,52,217088,10.385522553057761,0.0,0,25
shielded,0,53,221184,9.718715556525614,0.0,0,23
shielded,0,54,225280,9.59340744753659,0.0,0,23
shielded,0,55,229376,10.641831832472468,0.043478260869565216,0,23
shielded,0,56,233472,10.232304191801973,0.041666666666666664,0,24
shielded,0,57,237568,14.111417210727124,0.07407407407407407,0,27
shielded,0,58,241664,8.546146994359685,0.0,0,23
shielded,0,59,245760,10.301966504435182,0.0,0,25
shielded,0,60,249856,14.249418922709298,0.07692307692307693,0,26
shielded,0,61,253952,8.352064993502644,0.0,0,27
shielded,0,62,258048,11.17431186957351,0.0,0,24
shielded,0,63,262144,9.80000536946436,0.0,0,28
shielded,0,64,266240,9.912846991542647,0.0,0,25
shielded,0,65,270336,10.83737537796008,0.04,0,25
shielded,0,66,274432,7.818421668592561,0.0,0,24
shielded,0,67,278528,9.849469293202901,0.041666666666666664,0,24
shielded,0,68,282624,11.43475006389343,0.0,0,28
shielded,0,69,286720,14.015820030484043,0.06451612903225806,0,31
shielded,0,70,290816,11.972245008774816,0.07142857142857142,0,28
shielded,0,71,294912,11.017126846157234,0.038461538461538464,0,26
shielded,0,72,299008,11.218258205517225,0.034482758620689655,0,29
shielded,0,73,303104,9.098250186054663,0.0,0,26
shielded,0,74,307200,10.635454931367683,0.038461538461538464,0,26
shielded,0,75,311296,15.632004442745778,0.07142857142857142,0,28
shielded,0,76,315392,7.73011011482989,0.0,0,28
